Song_ID,Title,Artist,Danceability,Energy,Tempo,Genre
S0001,Song 1,Artist 5,0.58,0.81,68,Electronic
S0002,Song 2,Artist 59,0.58,0.86,70,Electronic
S0003,Song 3,Artist 13,0.69,0.32,199,Pop
S0004,Song 4,Artist 71,0.72,0.65,46,Rock
S0005,Song 5,Artist 5,1.0,0.42,121,Rock
S0006,Song 6,Artist 37,0.78,0.84,109,Pop
S0007,Song 7,Artist 83,0.71,0.79,157,Hip-Hop
S0008,Song 8,Artist 38,0.83,0.65,192,Pop
S0009,Song 9,Artist 92,0.76,0.42,153,Jazz
S0010,Song 10,Artist 7,0.98,0.41,137,Classical
S0011,Song 11,Artist 39,0.79,0.52,43,Pop
S0012,Song 12,Artist 46,0.54,0.37,193,Hip-Hop
S0013,Song 13,Artist 98,0.79,0.98,181,Electronic
S0014,Song 14,Artist 37,0.73,0.95,168,Country
S0015,Song 15,Artist 91,0.83,0.87,181,Hip-Hop
S0016,Song 16,Artist 13,0.74,0.79,187,Pop
S0017,Song 17,Artist 90,0.64,0.58,108,Hip-Hop
S0018,Song 18,Artist 23,0.65,0.62,200,Pop
S0019,Song 19,Artist 20,0.9,0.76,159,Jazz
S0020,Song 20,Artist 68,0.69,0.93,152,Classical
S0021,Song 21,Artist 83,0.64,1.0,53,Electronic
S0022,Song 22,Artist 74,0.72,0.66,199,Classical
S0023,Song 23,Artist 31,0.98,0.41,171,Jazz
S0024,Song 24,Artist 28,0.66,0.52,158,Pop
S0025,Song 25,Artist 43,0.54,0.67,79,Hip-Hop
S0026,Song 26,Artist 56,0.91,0.32,180,Hip-Hop
S0027,Song 27,Artist 83,0.55,0.8,88,Jazz
S0028,Song 28,Artist 3,0.72,0.99,135,Rock
S0029,Song 29,Artist 25,0.9,0.63,103,Jazz
S0030,Song 30,Artist 76,0.92,0.85,125,Jazz
S0031,Song 31,Artist 17,0.95,0.64,48,Jazz
S0032,Song 32,Artist 80,0.77,0.9,128,Hip-Hop
S0033,Song 33,Artist 47,0.43,0.89,114,Classical
S0034,Song 34,Artist 92,0.6,0.77,178,Pop
S0035,Song 35,Artist 85,0.51,0.67,195,Hip-Hop
S0036,Song 36,Artist 56,0.95,0.35,98,Jazz
S0037,Song 37,Artist 25,0.79,0.66,187,Electronic
S0038,Song 38,Artist 62,0.97,0.67,187,Classical
S0039,Song 39,Artist 66,0.53,0.89,144,Rock
S0040,Song 40,Artist 34,0.72,0.94,199,Rock
S0041,Song 41,Artist 4,0.66,0.72,60,Jazz
S0042,Song 42,Artist 61,0.51,0.71,111,Jazz
S0043,Song 43,Artist 96,0.45,0.51,144,Jazz
S0044,Song 44,Artist 83,0.67,0.57,166,Jazz
S0045,Song 45,Artist 56,0.67,0.5,172,Country
S0046,Song 46,Artist 10,0.49,0.98,148,Hip-Hop
S0047,Song 47,Artist 14,0.91,0.73,73,Classical
S0048,Song 48,Artist 100,0.64,0.37,56,Jazz
S0049,Song 49,Artist 34,0.53,0.34,42,Rock
S0050,Song 50,Artist 49,0.74,0.72,141,Classical
S0051,Song 51,Artist 36,0.86,0.5,157,Classical
S0052,Song 52,Artist 42,0.97,0.73,74,Country
S0053,Song 53,Artist 67,0.9,0.54,136,Electronic
S0054,Song 54,Artist 34,0.51,0.6,58,Electronic
S0055,Song 55,Artist 50,0.99,0.92,64,Electronic
S0056,Song 56,Artist 49,0.7,0.99,61,Hip-Hop
S0057,Song 57,Artist 38,0.71,0.86,75,Pop
S0058,Song 58,Artist 69,0.68,0.32,82,Jazz
S0059,Song 59,Artist 74,0.72,0.4,193,Electronic
S0060,Song 60,Artist 12,0.73,0.84,82,Jazz
S0061,Song 61,Artist 3,0.54,0.73,182,Pop
S0062,Song 62,Artist 23,0.92,0.64,54,Classical
S0063,Song 63,Artist 46,0.82,0.43,111,Classical
S0064,Song 64,Artist 15,0.97,0.96,52,Hip-Hop
S0065,Song 65,Artist 24,0.96,0.73,72,Hip-Hop
S0066,Song 66,Artist 87,0.65,0.42,167,Rock
S0067,Song 67,Artist 65,0.63,0.84,90,Hip-Hop
S0068,Song 68,Artist 62,0.91,0.36,108,Classical
